Artist,Song,Explicit,Explicit_f,Year,Popularity,Popularity_f,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence,Genre
Westlife,The Rose,0,FALSE,2006,0.2,20,0.272,0.203,0.0294,0.784,0.0805,0.172,pop
T-Pain,I'm Sprung,0,FALSE,2005,0.2,20,0.722,0.329,0.108,0.088,0.081,0.166,"hip hop, pop, R&B"
T-Pain,I'm N Luv (Wit a Stripper) (feat. Mike Jones),1,TRUE,2005,0.2,20,0.731,0.368,0.0688,0.00544,0.193,0.512,"hip hop, pop, R&B"
Justin Bieber,Love Yourself,0,FALSE,2015,0.2,20,0.609,0.378,0.438,0.835,0.28,0.515,pop
Musiq Soulchild,Love,0,FALSE,2000,0.2,20,0.569,0.385,0.0499,0.342,0.0876,0.339,"pop, R&B"
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",0,FALSE,2016,0.2,20,0.735,0.451,0.0585,0.0631,0.325,0.0862,"pop, Dance/Electronic"
Childish Gambino,3005,1,TRUE,2013,0.2,20,0.681,0.463,0.289,0.128,0.0769,0.661,hip hop
Drake,Passionfruit,1,TRUE,2017,0.2,20,0.809,0.463,0.0396,0.256,0.109,0.364,"hip hop, pop, R&B"
NLE Choppa,Shotta Flow (feat. Blueface) [Remix],1,TRUE,2019,0.2,20,0.894,0.511,0.42,0.0251,0.14,0.568,hip hop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),0,FALSE,2011,0.2,20,0.471,0.514,0.0315,0.584,0.103,0.373,"pop, R&B"
T-Pain,Can't Believe It (feat. Lil' Wayne),0,FALSE,2008,0.2,20,0.648,0.516,0.049,0.00179,0.0772,0.0756,"hip hop, pop, R&B"
Kendrick Lamar,DNA.,1,TRUE,2017,0.2,20,0.636,0.517,0.36,0.00402,0.0874,0.394,hip hop
Mariah Carey,Don't Forget About Us - Radio Edit,0,FALSE,2005,0.2,20,0.7,0.529,0.0395,0.0422,0.101,0.386,"pop, R&B"
Grimes,Oblivion,0,FALSE,2012,0.2,20,0.697,0.529,0.0338,0.115,0.0895,0.486,"pop, rock, Dance/Electronic"
Tory Lanez,LUV,1,TRUE,2016,0.2,20,0.688,0.541,0.114,0.0118,0.123,0.247,"hip hop, pop, R&B"
Drake,Jumpman,1,TRUE,2015,0.2,20,0.853,0.558,0.202,0.0462,0.341,0.654,"hip hop, pop, R&B"
Flume,Never Be Like You,1,TRUE,2016,0.2,20,0.443,0.558,0.0624,0.441,0.163,0.248,Dance/Electronic
ScHoolboy Q,Collard Greens,1,TRUE,2014,0.2,20,0.826,0.571,0.064,0.0239,0.207,0.666,"hip hop, pop"
The Lumineers,Ophelia,0,FALSE,2016,0.2,20,0.664,0.576,0.0286,0.63,0.0902,0.621,"pop, Folk/Acoustic"
Lorde,Team,0,FALSE,2013,0.2,20,0.691,0.582,0.0939,0.162,0.247,0.427,"pop, Dance/Electronic"
Astrid S,Hurts So Good,0,FALSE,2016,0.2,20,0.672,0.589,0.049,0.082,0.0962,0.379,"rock, pop, Dance/Electronic"
The Weeknd,Starboy,1,TRUE,2016,0.2,20,0.681,0.594,0.282,0.165,0.134,0.535,"pop, R&B"
